Sector,Beta (per 100bps Δ10Y),t-stat,p-value,R-squared,N
Utilities (XLU),-0.011762554131713248,-1.0334263529646357,0.301404419158413,0.00259308379874279,1490
Consumer Staples (XLP),0.0015225966640181924,0.19973807332769422,0.8416854355082125,7.946228777966358e-05,1490
Technology (XLK),0.017954171987194435,1.4827198267223782,0.13814886467118648,0.0038614424940569547,1490
Financials (XLF),0.04781825015920375,4.1048852708731385,4.045155873055321e-05,0.033018908588806295,1490
Energy (XLE),0.07447083781000535,4.900710743378182,9.549056331444568e-07,0.04214444108384541,1490
